Regime,Regime_Start,Regime_End,N_Observations,Y_Variable_Group,Y_Variable,X_Category,X_Variable,Correlation,Abs_Correlation,P_Value,Significant_5pct,Significant_1pct
COVID,2020-01-01,2022-12-31,36,Drawdown6m,Drawdown6m_.NIFSMCP100,commodity,Crude,0.2183417794319277,0.2183417794319277,0.2007850976661818,False,False
COVID,2020-01-01,2022-12-31,36,Drawdown6m,Drawdown6m_.NIFSMCP100,commodity,BTC,0.4608213221516585,0.4608213221516585,0.0046776635863192695,True,True
Derivatives_Expansion,2015-01-01,2018-12-31,48,Drawdown6m,Drawdown6m_.NSEI,commodity,Gold,0.22495149292159397,0.22495149292159397,0.38536386951166923,False,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,Drawdown6m,Drawdown6m_.NSEI,commodity,Silver,0.5510504413623294,0.5510504413623294,0.021867797877595407,True,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,Drawdown6m,Drawdown6m_.NSEI,commodity,Crude,-0.04077788864122013,0.04077788864122013,0.8765149696660195,False,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,Drawdown6m,Drawdown6m_.NSEI,commodity,BTC,0.4247500251708167,0.4247500251708167,0.08923107862215862,False,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,Drawdown6m,Drawdown6m_.NIFMDCP100,commodity,Gold,0.4267209788837218,0.4267209788837218,0.08759835803040361,False,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,Drawdown6m,Drawdown6m_.NIFMDCP100,commodity,Silver,0.6286109679901751,0.6286109679901751,0.006876041671837196,True,True
Derivatives_Expansion,2015-01-01,2018-12-31,48,Drawdown6m,Drawdown6m_.NIFMDCP100,commodity,Crude,-0.4157868562030354,0.4157868562030354,0.09693352247968434,False,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,Drawdown6m,Drawdown6m_.NIFMDCP100,commodity,BTC,0.4089435118756311,0.4089435118756311,0.10312639599732876,False,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,Drawdown6m,Drawdown6m_.NIFSMCP100,commodity,Gold,0.5831553458776988,0.5831553458776988,0.014007090424074553,True,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,Drawdown6m,Drawdown6m_.NIFSMCP100,commodity,Silver,0.7622895044471719,0.7622895044471719,0.0003745759618227762,True,True
Derivatives_Expansion,2015-01-01,2018-12-31,48,Drawdown6m,Drawdown6m_.NIFSMCP100,commodity,Crude,-0.4997799537883281,0.4997799537883281,0.04107213202314952,True,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,Drawdown6m,Drawdown6m_.NIFSMCP100,commodity,BTC,0.4129954060289455,0.4129954060289455,0.09942660756830657,False,False
Recent,2023-01-01,2025-12-31,35,Drawdown6m,Drawdown6m_.NSEI,commodity,Gold,-0.00658514101845178,0.00658514101845178,0.9700514907664286,False,False
Recent,2023-01-01,2025-12-31,35,Drawdown6m,Drawdown6m_.NSEI,commodity,Silver,0.026534667695971702,0.026534667695971702,0.8797339159820527,False,False
Recent,2023-01-01,2025-12-31,35,Drawdown6m,Drawdown6m_.NSEI,commodity,Crude,0.049816959062659254,0.049816959062659254,0.7762616666668203,False,False
Recent,2023-01-01,2025-12-31,35,Drawdown6m,Drawdown6m_.NSEI,commodity,BTC,-0.10641030366143886,0.10641030366143886,0.5429219843327198,False,False
Recent,2023-01-01,2025-12-31,35,Drawdown6m,Drawdown6m_.NIFMDCP100,commodity,Gold,-0.21428485397221292,0.21428485397221292,0.21641939258137177,False,False
Recent,2023-01-01,2025-12-31,35,Drawdown6m,Drawdown6m_.NIFMDCP100,commodity,Silver,-0.12808329604297836,0.12808329604297836,0.4633999192485134,False,False
Recent,2023-01-01,2025-12-31,35,Drawdown6m,Drawdown6m_.NIFMDCP100,commodity,Crude,0.20958746601174832,0.20958746601174832,0.2269004790276974,False,False
Recent,2023-01-01,2025-12-31,35,Drawdown6m,Drawdown6m_.NIFMDCP100,commodity,BTC,-0.29671741820636577,0.29671741820636577,0.0834742810278224,False,False
Recent,2023-01-01,2025-12-31,35,Drawdown6m,Drawdown6m_.NIFSMCP100,commodity,Gold,-0.38917784898358865,0.38917784898358865,0.020847835724677966,True,False
