X_Category,X_Variable,Y_Variable_Group,Y_Variable,COVID,Derivatives_Expansion,GFC,Post_GFC,Recent
macro,REPO,SemiStd12m,SemiStd12m_.NIFSMCP100,0.9885698415171995,0.2171008970114645,0.07533985185325864,9.61349816863688e-07,3.884485718419484e-06
macro,REPO,SemiStd12m,SemiStd12m_.NSEI,0.5508583149764912,0.5603005526308018,0.24917082979990401,0.5461320976787265,8.04569997663318e-05
macro,REPO,SemiStd3m,SemiStd3m_.NIFMDCP100,0.2486210712392667,0.2596547834605425,0.0011798004461780476,0.35071716153804733,0.3975725109321906
macro,REPO,SemiStd3m,SemiStd3m_.NIFSMCP100,0.3539363716618693,0.6468297566544705,0.006225065523027817,0.39586388145049023,0.1883832550940121
macro,REPO,SemiStd3m,SemiStd3m_.NSEI,0.14064755462036627,0.04295243404171001,0.006631910889211445,0.8847005228837244,0.5196218102972723
macro,REPO,SemiStd6m,SemiStd6m_.NIFMDCP100,0.55593513177203,0.04798198162416467,0.03656677519347018,0.012443980115781406,0.020505058927587694
macro,REPO,SemiStd6m,SemiStd6m_.NIFSMCP100,0.5459721554729391,0.33330429326620226,0.16903212530671508,0.03138816573664638,0.004423081436974563
macro,REPO,SemiStd6m,SemiStd6m_.NSEI,0.5775825063988291,0.06511725401426727,0.06867176225258498,0.6829413955267678,0.19305284872203
macro,WPI,Drawdown12m,Drawdown12m_.NIFMDCP100,0.007723378031077255,0.116312311532067,0.000963817703009795,0.03802421664284905,0.021584866632178734
macro,WPI,Drawdown12m,Drawdown12m_.NIFSMCP100,0.16110148641897926,0.11334022795046783,0.011846328181438714,0.3589144700664608,0.005719681533701282
macro,WPI,Drawdown12m,Drawdown12m_.NSEI,0.007950807846894392,0.00020140878884400415,0.0012202754586720932,0.0028646603910860158,0.003011265299355026
macro,WPI,Drawdown3m,Drawdown3m_.NIFMDCP100,0.5863556011303417,0.5660648361751843,0.0007359788633189979,0.29270850701742157,0.08301158201834724
macro,WPI,Drawdown3m,Drawdown3m_.NIFSMCP100,0.8564092545682196,0.8102459097711867,0.0008068966948262535,0.380148640555368,0.08749937808674546
macro,WPI,Drawdown3m,Drawdown3m_.NSEI,0.47972352004442076,0.2130854097301016,0.0020115642451197235,0.07322893774286499,0.03155753362505864
macro,WPI,Drawdown6m,Drawdown6m_.NIFMDCP100,0.04423637878509079,0.21491365914269767,2.553622485623741e-05,0.2081683577834812,0.02062082071138205
macro,WPI,Drawdown6m,Drawdown6m_.NIFSMCP100,0.2796098575218444,0.37660576632858733,0.0001653365663851769,0.8601401521778798,0.0206460533004178
macro,WPI,Drawdown6m,Drawdown6m_.NSEI,0.06159744261749678,0.017629083904400877,3.961542420660713e-05,0.011148050186976954,0.00511500497138595
macro,WPI,LogReturn,LogReturn_.NIFMDCP100,0.5499403781192891,0.6276603004927477,0.003510949991553991,0.4742085234603133,0.08976442576972565
macro,WPI,LogReturn,LogReturn_.NIFSMCP100,0.38040832928541857,0.9056381141942029,0.0017423136765422065,0.6945324329323821,0.0514840680168307
macro,WPI,LogReturn,LogReturn_.NSEI,0.6357570073762444,0.24614453000985304,0.006316379560178609,0.616342831141385,0.2888435563290459
macro,WPI,Return12m,Return12m_.NIFMDCP100,0.012999603865521125,0.5948444099223087,0.06417963305720753,0.4963882167103799,0.44501078495961743
macro,WPI,Return12m,Return12m_.NIFSMCP100,0.0331852129308472,0.7600342045899653,0.23256051841796999,0.33682308939226346,0.32038460748357456
macro,WPI,Return12m,Return12m_.NSEI,0.01524388768447893,0.03082709829829655,0.07395504095819505,0.12071303210338136,0.5732645902893343
macro,WPI,Return3m,Return3m_.NIFMDCP100,0.3145917412661212,0.2558464911713687,2.4720051112758767e-06,0.08487672891031472,0.001810048733531744
macro,WPI,Return3m,Return3m_.NIFSMCP100,0.1481843038886903,0.5525141945654686,6.413261496085454e-06,0.3730862646201847,0.0008571460498221217
macro,WPI,Return3m,Return3m_.NSEI,0.33603190018684903,0.008296894646504738,9.683987375108671e-06,0.0274107419142251,0.012855099272460313
macro,WPI,Return6m,Return6m_.NIFMDCP100,0.8666966946283954,0.6400693075583614,3.5888305571774026e-07,0.014305139392698063,0.005802114495383259
macro,WPI,Return6m,Return6m_.NIFSMCP100,0.5598828031051595,0.5998642300506565,1.4978405873389278e-06,0.09096165496895336,0.00866319554410433
macro,WPI,Return6m,Return6m_.NSEI,0.902181855419971,0.0007370135491644447,3.307754783410388e-07,0.00042234575638167016,0.05206923879740932
macro,WPI,SemiStd12m,SemiStd12m_.NIFMDCP100,5.53272982983799e-10,0.00021224358027538415,0.40754802030795156,0.523504890410968,0.1778117579216103
macro,WPI,SemiStd12m,SemiStd12m_.NIFSMCP100,1.0046958154319441e-08,0.06863444110583927,0.8779808334018055,0.1101765582399663,0.09201923387006361
macro,WPI,SemiStd12m,SemiStd12m_.NSEI,1.53991486229188e-10,0.11663222569808118,0.6424936442335591,6.43345199335954e-09,0.4838228719172646
macro,WPI,SemiStd3m,SemiStd3m_.NIFMDCP100,0.2735379234364119,0.30415915806715677,1.431572192056585e-05,0.07482516752022139,0.05028025357442689
macro,WPI,SemiStd3m,SemiStd3m_.NIFSMCP100,0.42344131287189124,0.792713284409583,0.00016494601933669806,0.03938682059318466,0.038136303707429375
macro,WPI,SemiStd3m,SemiStd3m_.NSEI,0.12971254193870996,0.018270041240842083,7.07224082703295e-05,0.0009898403457007099,0.018479129036620412
macro,WPI,SemiStd6m,SemiStd6m_.NIFMDCP100,0.004414422356359582,0.03293646808818673,0.000410313891211489,0.09929291717130395,0.3269680470908227
macro,WPI,SemiStd6m,SemiStd6m_.NIFSMCP100,0.01599461233858923,0.3956381242844671,0.005586974043660264,0.08377914718683699,0.3388777477665794
macro,WPI,SemiStd6m,SemiStd6m_.NSEI,0.0009503353540627479,0.01012221342496189,0.0005177956951851748,8.84942667744859e-06,0.13111176572012506
valuation,Nifty_CAPE,Drawdown12m,Drawdown12m_.NIFMDCP100,0.00011365990940337412,0.012400460832051152,0.006639694124910056,0.12720324844057518,0.4614517908810236
valuation,Nifty_CAPE,Drawdown12m,Drawdown12m_.NIFSMCP100,0.0036010367131840137,0.01562363560251856,0.0004805000671235238,0.057772302888114746,0.9234748707058582
valuation,Nifty_CAPE,Drawdown12m,Drawdown12m_.NSEI,0.00018154044990015272,0.018446368280782943,0.005026432209845888,0.9150352004156872,0.862075294756085
valuation,Nifty_CAPE,Drawdown3m,Drawdown3m_.NIFMDCP100,0.2635963869426343,0.053908866006807665,0.673219194296248,0.9599400395741093,0.22986334182115042
valuation,Nifty_CAPE,Drawdown3m,Drawdown3m_.NIFSMCP100,0.3929673844153865,0.13721099321715235,0.9628791460341277,0.9575990254808848,0.40993330150018714
valuation,Nifty_CAPE,Drawdown3m,Drawdown3m_.NSEI,0.2617701374861523,0.7226110910365566,0.6575577181854473,0.2969895776091023,0.3095611226631807
valuation,Nifty_CAPE,Drawdown6m,Drawdown6m_.NIFMDCP100,0.002568509784580897,0.011567214197825582,0.28974544221621734,0.43236464890931714,0.39599755787535984
valuation,Nifty_CAPE,Drawdown6m,Drawdown6m_.NIFSMCP100,0.011960024314036088,0.049809797467148975,0.11590010948043172,0.418427868547558,0.7940168433258707
valuation,Nifty_CAPE,Drawdown6m,Drawdown6m_.NSEI,0.0061248440346335364,0.6151620035183643,0.2078150416301059,0.5425313365091466,0.7422197010826521
valuation,Nifty_CAPE,LogReturn,LogReturn_.NIFMDCP100,0.37991559506001704,0.13977286640717446,0.2657703028962932,0.2588509528054539,0.044843580532346605
valuation,Nifty_CAPE,LogReturn,LogReturn_.NIFSMCP100,0.3327092563425469,0.10660333509780995,0.40957420351328366,0.24808001656275636,0.05756143985587969
valuation,Nifty_CAPE,LogReturn,LogReturn_.NSEI,0.41992046104788505,0.5854920471470892,0.22899800978172546,0.2244175606852432,0.1633796245917727
valuation,Nifty_CAPE,Return12m,Return12m_.NIFMDCP100,0.00024720235488473463,0.9546364067581079,0.0001745513988438141,2.000920003242257e-06,0.03474810851932131
valuation,Nifty_CAPE,Return12m,Return12m_.NIFSMCP100,0.001320131077982234,0.7275628902240645,1.1788436922399725e-05,2.5955390416498858e-05,0.02061740738105855
valuation,Nifty_CAPE,Return12m,Return12m_.NSEI,0.00022806146508758118,0.0009864985795469128,5.6086892376683295e-05,0.00017605692822231234,0.006242705563216822
valuation,Nifty_CAPE,Return3m,Return3m_.NIFMDCP100,0.9937309338048763,0.2349688798084104,0.9485405393484119,0.9031707010444467,0.4226803752953203
valuation,Nifty_CAPE,Return3m,Return3m_.NIFSMCP100,0.7337820830135198,0.12856318674009448,0.8918058526142212,0.9481276357007551,0.36002877664712707
valuation,Nifty_CAPE,Return3m,Return3m_.NSEI,0.9319235814457363,0.4715674050044827,0.7980506940257004,0.8250488331318349,0.924405596967828
valuation,Nifty_CAPE,Return6m,Return6m_.NIFMDCP100,0.20786622929497445,0.3968730149389752,0.31641637588122706,0.1640084247878031,0.7460297793534973
valuation,Nifty_CAPE,Return6m,Return6m_.NIFSMCP100,0.4316689334296189,0.3710481831182917,0.2509316865357518,0.4014757418057069,0.9663454984093791
valuation,Nifty_CAPE,Return6m,Return6m_.NSEI,0.15868436553117538,0.020947427504076188,0.29603607473995996,0.5708973350209376,0.15047837632276728
valuation,Nifty_CAPE,SemiStd12m,SemiStd12m_.NIFMDCP100,1.1385359321991473e-10,0.25859525517853843,6.979061857315116e-07,1.3501110895930424e-08,0.7812581027019783
valuation,Nifty_CAPE,SemiStd12m,SemiStd12m_.NIFSMCP100,1.1773200192521927e-09,0.23888549531755543,4.157800725934635e-08,0.00010089857828887716,0.3036574483794081
valuation,Nifty_CAPE,SemiStd12m,SemiStd12m_.NSEI,1.8147039426708034e-10,5.028170299370416e-05,2.472494102789824e-07,0.7407079103290952,0.02262994695738829
valuation,Nifty_CAPE,SemiStd3m,SemiStd3m_.NIFMDCP100,0.02435914571252118,0.08463525147189466,0.6809697195123914,0.21553500072382348,0.5224010555957328
valuation,Nifty_CAPE,SemiStd3m,SemiStd3m_.NIFSMCP100,0.044711658634196905,0.3500943783916699,0.3459950902702842,0.6550148680742869,0.5859401202322605
valuation,Nifty_CAPE,SemiStd3m,SemiStd3m_.NSEI,0.012790828330907056,0.4919652824368619,0.6654088144107777,0.7344674207059241,0.9165287327255944
valuation,Nifty_CAPE,SemiStd6m,SemiStd6m_.NIFMDCP100,3.2013508233452725e-05,0.18405908274598448,0.05271582257440377,0.006857373679711953,0.5648583237981977
valuation,Nifty_CAPE,SemiStd6m,SemiStd6m_.NIFSMCP100,0.00014588433089324226,0.8839355226895458,0.00794272547727859,0.19609556997042432,0.5193105204998694
valuation,Nifty_CAPE,SemiStd6m,SemiStd6m_.NSEI,8.59247265005969e-06,0.02129481564639213,0.02919023267817833,0.5170832984286,0.4413475438864354
valuation,Nifty_Div_Yield,Drawdown12m,Drawdown12m_.NIFMDCP100,0.00021971504827722477,0.0266155987581147,0.06629393249776272,0.027247020017918677,0.13697025141504526
valuation,Nifty_Div_Yield,Drawdown12m,Drawdown12m_.NIFSMCP100,1.8744128706282837e-05,0.0492581950531068,0.01190504364940792,0.009902777269428231,0.3476603103666416
valuation,Nifty_Div_Yield,Drawdown12m,Drawdown12m_.NSEI,0.00035285738260060207,0.9773944383807667,0.06805616644748325,0.238734939898539,0.16689299259213786
valuation,Nifty_Div_Yield,Drawdown3m,Drawdown3m_.NIFMDCP100,0.45830964926127304,0.08198011222534185,0.43734063532395506,0.6980350780347553,0.14806871791479614
valuation,Nifty_Div_Yield,Drawdown3m,Drawdown3m_.NIFSMCP100,0.4705862844943349,0.11104414039856669,0.5118875841000126,0.6968887892961113,0.2637492532497345
valuation,Nifty_Div_Yield,Drawdown3m,Drawdown3m_.NSEI,0.6150304282242822,0.1891861998720965,0.3082361991689109,0.6738096588029197,0.0741014353412266
valuation,Nifty_Div_Yield,Drawdown6m,Drawdown6m_.NIFMDCP100,0.0016129317496598183,0.014827109256591475,0.8813237908817713,0.2498588750580888,0.1199756095932174
valuation,Nifty_Div_Yield,Drawdown6m,Drawdown6m_.NIFSMCP100,0.0008293251020734527,0.08655799345747583,0.5540655143877768,0.23109021843537358,0.2830319869246529
valuation,Nifty_Div_Yield,Drawdown6m,Drawdown6m_.NSEI,0.004771312150374518,0.07172941073193129,0.8287654988963242,0.9156300356356359,0.16197978110358413
valuation,Nifty_Div_Yield,LogReturn,LogReturn_.NIFMDCP100,0.2181846281396962,0.054123119035065725,0.16278091966214414,0.650623507054616,0.04521847571822546
valuation,Nifty_Div_Yield,LogReturn,LogReturn_.NIFSMCP100,0.2522704700852554,0.029112467669922593,0.1811231783327012,0.6316097724716161,0.05400168767722646
valuation,Nifty_Div_Yield,LogReturn,LogReturn_.NSEI,0.15151338889389643,0.26524741778987737,0.1355567450231625,0.5598960725215387,0.07407595872972417
valuation,Nifty_Div_Yield,Return12m,Return12m_.NIFMDCP100,1.5864148599220584e-06,0.748542448598811,1.0941766891869875e-05,3.119071445567556e-09,0.43950700741680304
valuation,Nifty_Div_Yield,Return12m,Return12m_.NIFSMCP100,1.3613242606513865e-06,0.6749608450329267,1.0804673473918669e-05,2.9711579174751535e-07,0.3669245436893367
valuation,Nifty_Div_Yield,Return12m,Return12m_.NSEI,7.937199781871129e-07,0.16111612879903126,4.067014916131484e-05,5.266730407349485e-07,0.21340116854936197
valuation,Nifty_Div_Yield,Return3m,Return3m_.NIFMDCP100,0.30490564109784635,0.00444197104890498,0.2639995172907481,0.8182392743801168,0.033004834028426355
valuation,Nifty_Div_Yield,Return3m,Return3m_.NIFSMCP100,0.30300280387536693,0.002262303243123931,0.20793026902208744,0.8874960846338351,0.03000905583245128
valuation,Nifty_Div_Yield,Return3m,Return3m_.NSEI,0.6242684401953991,0.06102666963660108,0.08920833471386058,0.781311718340038,0.14837406022850086
valuation,Nifty_Div_Yield,Return6m,Return6m_.NIFMDCP100,0.000831225609878361,0.8000903338803051,0.14418149737333463,0.057726223002909416,0.4792673693438485
valuation,Nifty_Div_Yield,Return6m,Return6m_.NIFSMCP100,0.0017214530732834188,0.7226774830665623,0.18257159073102258,0.15774599368977915,0.32585596445591336
valuation,Nifty_Div_Yield,Return6m,Return6m_.NSEI,0.0014454560893093493,0.20717308345298302,0.3452836515757538,0.3717311150583107,0.5975607443711737
valuation,Nifty_Div_Yield,SemiStd12m,SemiStd12m_.NIFMDCP100,8.005995270554678e-05,0.9339732884322789,0.0019430250658944992,9.640488407569592e-11,0.4766699954285507
valuation,Nifty_Div_Yield,SemiStd12m,SemiStd12m_.NIFSMCP100,3.861028669294164e-05,0.18827327851094688,0.001337926096021791,7.353376390017985e-07,0.9042095917910484
valuation,Nifty_Div_Yield,SemiStd12m,SemiStd12m_.NSEI,0.00019375740969884703,0.009048510036418156,0.0006905632922249438,0.6542106205054217,0.407452897160701
valuation,Nifty_Div_Yield,SemiStd3m,SemiStd3m_.NIFMDCP100,0.0039108467402637626,0.15137635596016752,0.46013301489527914,0.19242375447824855,0.1526998487384179
valuation,Nifty_Div_Yield,SemiStd3m,SemiStd3m_.NIFSMCP100,0.006339796459631453,0.31117913098314043,0.6094325162792424,0.38277085005385425,0.20309714252102284
valuation,Nifty_Div_Yield,SemiStd3m,SemiStd3m_.NSEI,0.003077220817632398,0.5039391415959642,0.17974808481645832,0.9431250261498851,0.17139268264007934
valuation,Nifty_Div_Yield,SemiStd6m,SemiStd6m_.NIFMDCP100,3.240928425629619e-07,0.9281603318536473,0.15618404056535096,0.0010083984510318444,0.44125511910846105
valuation,Nifty_Div_Yield,SemiStd6m,SemiStd6m_.NIFSMCP100,4.210543582683357e-07,0.3017115459719062,0.06621992020522716,0.014505159528506839,0.34138687728903605
valuation,Nifty_Div_Yield,SemiStd6m,SemiStd6m_.NSEI,7.684027123477932e-07,0.02673252518210001,0.2454571443379121,0.8140073244695276,0.9030431813714996
valuation,Nifty_EPS,Drawdown12m,Drawdown12m_.NIFMDCP100,0.1946521120950524,0.15294729984642874,0.9617545264929883,0.8972017685849019,0.04789301097023224
valuation,Nifty_EPS,Drawdown12m,Drawdown12m_.NIFSMCP100,0.32679145857057645,0.16575634588206922,0.7373687347348894,0.7535949270464566,0.1105168908319174
valuation,Nifty_EPS,Drawdown12m,Drawdown12m_.NSEI,0.23683766963609143,0.016608374711057028,0.9572052500954762,0.619341106314875,0.336447606395768
valuation,Nifty_EPS,Drawdown3m,Drawdown3m_.NIFMDCP100,0.8424585317916442,0.7041236147365795,0.13431596627397058,0.1233596552382672,0.23446659700909267
valuation,Nifty_EPS,Drawdown3m,Drawdown3m_.NIFSMCP100,0.9821146462165902,0.9156422779763671,0.1477919293950476,0.1541760213005381,0.2894888513498688
valuation,Nifty_EPS,Drawdown3m,Drawdown3m_.NSEI,0.8846939544634196,0.2087980801887901,0.14325809124824374,0.7005044694243754,0.8483207597425733
valuation,Nifty_EPS,Drawdown6m,Drawdown6m_.NIFMDCP100,0.36240281345021974,0.18264303071484145,0.32445606109562997,0.519166901727254,0.13269550757313775
valuation,Nifty_EPS,Drawdown6m,Drawdown6m_.NIFSMCP100,0.9869902801056631,0.3488972816827485,0.39634176395010123,0.6251662561320215,0.048700951773842815
valuation,Nifty_EPS,Drawdown6m,Drawdown6m_.NSEI,0.4698155753447235,0.16933608024827262,0.3767081543517352,0.9149549105395249,0.8726511254674483
valuation,Nifty_EPS,LogReturn,LogReturn_.NIFMDCP100,0.47014335884216707,0.6557624184069069,0.12013817583550956,0.1573279139675856,0.30354197809926475
valuation,Nifty_EPS,LogReturn,LogReturn_.NIFSMCP100,0.3140058487253832,0.8787303061947787,0.14515376148366688,0.12428558917681132,0.25143969904539887
valuation,Nifty_EPS,LogReturn,LogReturn_.NSEI,0.5943539015294843,0.2523861014436646,0.15541282904961018,0.5037626443866419,0.6702740983762541
valuation,Nifty_EPS,Return12m,Return12m_.NIFMDCP100,0.19444536096504916,0.6155214976141452,0.5879617349834605,0.6348720046856711,0.2676438672671413
valuation,Nifty_EPS,Return12m,Return12m_.NIFSMCP100,0.06465678785162488,0.4590566983001447,0.8934367023691396,0.7233793639149064,0.4782314703735553
valuation,Nifty_EPS,Return12m,Return12m_.NSEI,0.24177394051706225,0.021864285370754466,0.8327750392172995,0.9996433049231959,0.5620736641879898
valuation,Nifty_EPS,Return3m,Return3m_.NIFMDCP100,0.17212288285765553,0.927529358654303,0.020560419306295596,0.4607225677964788,0.1875084863042058
valuation,Nifty_EPS,Return3m,Return3m_.NIFSMCP100,0.04924150566292207,0.7691970853619745,0.04118272897065545,0.3502125905365636,0.13704135879498658
valuation,Nifty_EPS,Return3m,Return3m_.NSEI,0.3584101086136844,0.09756909183896201,0.020661181926637573,0.8145952996668053,0.7273563441788862
valuation,Nifty_EPS,Return6m,Return6m_.NIFMDCP100,0.08805007266271936,0.5240973361551893,0.03712625486072696,0.6970449922639101,0.13188638815733933
valuation,Nifty_EPS,Return6m,Return6m_.NIFSMCP100,0.013264171694410853,0.4169503451823391,0.06489726852393662,0.978835187373589,0.0931360385779254
valuation,Nifty_EPS,Return6m,Return6m_.NSEI,0.1757778813138311,0.18260335596135535,0.0479164164410979,0.41309481885972366,0.5490727062620371
valuation,Nifty_EPS,SemiStd12m,SemiStd12m_.NIFMDCP100,0.018247065097676263,0.15697598987947248,0.21420790901772424,0.698873430614813,0.0007647117975340123
valuation,Nifty_EPS,SemiStd12m,SemiStd12m_.NIFSMCP100,0.05936302431719476,0.8846126839875894,0.06663358709000633,0.30878827244122653,0.02431924179885936
valuation,Nifty_EPS,SemiStd12m,SemiStd12m_.NSEI,0.005294465162878348,0.01924152774502863,0.1674895220614483,0.10728793193500441,0.33728171662976925
valuation,Nifty_EPS,SemiStd3m,SemiStd3m_.NIFMDCP100,0.890817648999968,0.11483399725372512,0.11741619179901064,0.5424018100330437,0.03083218367848506
valuation,Nifty_EPS,SemiStd3m,SemiStd3m_.NIFSMCP100,0.9794515497119474,0.45293573846404,0.14051764491106833,0.8829418994723475,0.03542685903950771
valuation,Nifty_EPS,SemiStd3m,SemiStd3m_.NSEI,0.822807791920481,0.1975451244155746,0.21219029708867176,0.5998547601565729,0.41507251757707797
valuation,Nifty_EPS,SemiStd6m,SemiStd6m_.NIFMDCP100,0.45772142912957925,0.016136394990035274,0.4676455319419035,0.5060053924302217,0.0008066364990628738
