date,ticker,open,high,low,close
2015-03-24,INDIA VIX,14.27,14.49,12.71,13.67
2015-03-25,INDIA VIX,13.67,13.95,12.38,13.14
2015-03-26,INDIA VIX,13.14,15.57,12.53,15.16
2015-03-27,INDIA VIX,15.16,15.4,14.38,14.5
2015-03-30,INDIA VIX,14.5,15.18,14.11,14.26
2015-03-31,INDIA VIX,14.26,14.74,13.86,14.49
2015-04-01,INDIA VIX,14.49,14.68,13.57,13.67
2015-04-06,INDIA VIX,13.67,15.05,13.6,14.57
2015-04-07,INDIA VIX,14.57,14.9,13.98,14.25
2015-04-08,INDIA VIX,14.25,14.7,13.35,14.35
2015-04-09,INDIA VIX,14.35,14.89,13.31,14.42
2015-04-10,INDIA VIX,14.42,14.79,13.43,14.26
2015-04-13,INDIA VIX,14.26,14.93,13.06,14.49
2015-04-15,INDIA VIX,14.49,14.99,13.91,14.62
2015-04-16,INDIA VIX,14.62,15.3,12.98,14.95
2015-04-17,INDIA VIX,14.95,15.18,13.62,15.04
2015-04-20,INDIA VIX,15.04,16.42,13.66,16.3
2015-04-21,INDIA VIX,16.3,17.34,15.23,17.03
2015-04-22,INDIA VIX,17.03,18.38,14.69,17.21
2015-04-23,INDIA VIX,17.21,19.44,14.97,18.5
2015-04-24,INDIA VIX,18.5,19.59,17.36,19.11
2015-04-27,INDIA VIX,19.11,20.09,16.22,18.74
2015-04-28,INDIA VIX,18.74,18.89,16.75,17.41
2015-04-29,INDIA VIX,17.41,17.89,15.73,17.24
2015-04-30,INDIA VIX,17.24,18.12,16.33,17.23
2015-05-04,INDIA VIX,17.23,18.28,16.96,17.31
2015-05-05,INDIA VIX,17.31,18.07,16.27,17.37
2015-05-06,INDIA VIX,17.37,20.46,16.71,19.67
2015-05-07,INDIA VIX,19.67,20.03,18.34,19.65
2015-05-08,INDIA VIX,19.65,19.65,17.51,19.11
2015-05-11,INDIA VIX,19.11,19.28,16.77,18.63
2015-05-12,INDIA VIX,18.63,21.33,17.22,20.55
2015-05-13,INDIA VIX,20.55,21.43,18.1,20.69
2015-05-14,INDIA VIX,20.69,21.9,19.84,20.7
