"Date","Price","Open","High","Low","Change %"
"01-04-2021","6.030","6.202","6.202","5.990","-2.38%"
"01-03-2021","6.177","6.236","6.274","6.114","-0.83%"
"01-02-2021","6.229","5.917","6.242","5.888","4.71%"
"01-01-2021","5.949","5.905","5.988","5.839","0.93%"
"01-12-2020","5.894","5.919","5.981","5.887","-0.29%"
"01-11-2020","5.911","5.890","5.936","5.837","0.51%"
"01-10-2020","5.881","5.965","6.042","5.791","-2.23%"
"01-09-2020","6.015","5.949","6.109","5.878","-1.04%"
"01-08-2020","6.078","5.846","6.231","5.808","4.13%"
"01-07-2020","5.837","5.907","5.907","5.747","-0.87%"
"01-06-2020","5.888","6.055","6.089","5.755","-2.08%"
"01-05-2020","6.013","6.138","6.250","5.879","-1.59%"
"01-04-2020","6.110","6.287","6.504","6.015","-0.46%"
"01-03-2020","6.138","6.343","6.449","5.995","-3.66%"
"01-02-2020","6.371","6.509","6.520","6.326","-3.46%"
"01-01-2020","6.599","6.548","6.692","6.485","0.69%"
"01-12-2019","6.554","6.463","6.837","6.448","1.46%"
"01-11-2019","6.460","6.431","6.574","6.415","-2.75%"
"01-10-2019","6.643","6.680","6.739","6.582","-0.78%"
"01-09-2019","6.695","6.498","6.874","6.488","2.12%"
"01-08-2019","6.556","6.394","6.639","6.296","2.94%"
"01-07-2019","6.369","6.906","6.930","6.266","-7.41%"
"01-06-2019","6.879","6.949","7.097","6.734","-2.18%"
"01-05-2019","7.032","7.411","7.426","7.030","-5.15%"
"01-04-2019","7.414","7.356","7.497","7.229","0.93%"
"01-03-2019","7.346","7.588","7.590","7.301","-3.23%"
"01-02-2019","7.591","7.470","7.699","7.425","1.44%"
"01-01-2019","7.483","7.401","7.650","7.350","1.53%"
"01-12-2018","7.370","7.646","7.703","7.218","-3.12%"
"01-11-2018","7.607","7.831","7.840","7.576","-3.13%"
"01-10-2018","7.853","7.923","8.210","7.797","-2.13%"
"01-09-2018","8.024","7.940","8.231","7.917","0.92%"
"01-08-2018","7.951","7.767","7.958","7.681","2.30%"
"01-07-2018","7.772","7.889","7.917","7.723","-1.66%"
"01-06-2018","7.903","7.860","8.000","7.769","0.98%"
"01-05-2018","7.826","7.731","7.945","7.553","0.76%"
"01-04-2018","7.767","7.333","7.797","7.123","4.99%"
"01-03-2018","7.398","7.726","7.800","7.286","-4.25%"
"01-02-2018","7.726","7.446","7.816","7.399","3.98%"
"01-01-2018","7.430","7.349","7.587","7.243","1.42%"
"01-12-2017","7.326","7.088","7.410","7.012","3.80%"
"01-11-2017","7.058","6.879","7.084","6.847","2.86%"
"01-10-2017","6.862","6.674","6.898","6.625","2.99%"
"01-09-2017","6.663","6.492","6.710","6.477","2.11%"
"01-08-2017","6.525","6.466","6.576","6.419","0.93%"
"01-07-2017","6.465","6.610","6.618","6.404","-0.71%"
"01-06-2017","6.511","6.649","6.672","6.419","-2.25%"
"01-05-2017","6.661","6.968","6.994","6.653","-4.31%"
"01-04-2017","6.961","6.658","6.983","6.554","4.55%"
"01-03-2017","6.658","6.898","6.932","6.665","-3.09%"
"01-02-2017","6.870","6.403","6.953","6.376","7.23%"
"01-01-2017","6.407","6.483","6.494","6.294","-1.61%"
"01-12-2016","6.512","6.257","6.620","6.169","4.31%"
"01-11-2016","6.243","6.873","6.929","6.113","-9.32%"
"01-10-2016","6.885","6.956","6.956","6.783","-1.05%"
