Regime,Group,Feature,Feature_MeanCorr,Feature_MaxCorr,Feature_MinCorr,Feature_MeanCov,Feature_MaxCov,Feature_MinCov
COVID,ReturnXm,Return3m_.NIFMDCP100,0.6353559628277163,0.9660237263530628,0.3902272386675085,0.018915418020597013,0.025987730649174808,0.012752083375609447
COVID,ReturnXm,Return3m_.NIFSMCP100,0.6288078715036838,0.9660237263530628,0.3828981707261853,0.0241795356129355,0.03620757211668547,0.01632958788172964
COVID,ReturnXm,Return6m_.NSEI,0.7182704041389166,0.978477430964827,0.606006714249116,0.027960970655070076,0.04741973580386469,0.010823204929421166
COVID,ReturnXm,Return6m_.NIFMDCP100,0.7283247502713253,0.981649304879723,0.6151784517062219,0.03688221609964743,0.06709903474726406,0.013703194061981703
COVID,ReturnXm,Return6m_.NIFSMCP100,0.7134165466304547,0.981649304879723,0.5956478702432048,0.04677684799101596,0.09103183476032116,0.018123840190209895
COVID,ReturnXm,Return12m_.NSEI,0.6205978255765332,0.9887724475870496,0.36128741075192555,0.042500389186441875,0.11710899094279696,0.009332602264224405
COVID,ReturnXm,Return12m_.NIFMDCP100,0.6300632243966096,0.9900254282968183,0.3545172120841732,0.05959642024953912,0.18039792046039008,0.013805128748183227
COVID,ReturnXm,Return12m_.NIFSMCP100,0.6215674140960521,0.9900254282968183,0.3238144762160073,0.07281907716572163,0.18039792046039008,0.01729979784527586
COVID,DrawdownXm,Drawdown3m_.NSEI,0.8048252638565319,0.9712553796550356,0.696110683438362,0.0036013627168524015,0.004333736938866898,0.002755483132745745
COVID,DrawdownXm,Drawdown3m_.NIFMDCP100,0.8216299277026482,0.9854869689963484,0.7178823121621253,0.004708710905910493,0.0059842075367362345,0.0034489848097831277
COVID,DrawdownXm,Drawdown3m_.NIFSMCP100,0.8080153249808145,0.9854869689963484,0.715053173342467,0.005830516020006895,0.007829373936760536,0.004333736938866898
COVID,DrawdownXm,Drawdown6m_.NSEI,0.8883334425660028,0.9807158475631476,0.7885953235856231,0.005171734280448859,0.0073026086219941284,0.0029020226485919265
COVID,DrawdownXm,Drawdown6m_.NIFMDCP100,0.8917474177471435,0.9807158475631476,0.775985144800946,0.006406273053691149,0.009502910355210448,0.003461451858621685
COVID,DrawdownXm,Drawdown6m_.NIFSMCP100,0.863834030451776,0.9616253676717359,0.7172458847084052,0.008004636192675267,0.01276120029623076,0.004298560822159088
COVID,DrawdownXm,Drawdown12m_.NSEI,0.8755600529529455,0.9881219882500029,0.7421094726735702,0.0051475169048515075,0.007232707252472922,0.002755483132745745
COVID,DrawdownXm,Drawdown12m_.NIFMDCP100,0.8747964320064572,0.9881219882500029,0.744075772709657,0.006300963610503663,0.00922088890695535,0.003322970715578113
COVID,DrawdownXm,Drawdown12m_.NIFSMCP100,0.8288758851522852,0.9351914589020348,0.696110683438362,0.007866715799267733,0.01276120029623076,0.00428769080847263
COVID,SemiStdXm,SemiStd3m_.NSEI,0.6400365852383532,0.9864912009526973,0.37990240005028214,0.0014576516747501558,0.002929104909170092,0.0004825991209518642
COVID,SemiStdXm,SemiStd3m_.NIFMDCP100,0.6273952072407564,0.9916674116737864,0.3334842314521697,0.0019043836349932788,0.004233728377356609,0.0005939497939633478
COVID,SemiStdXm,SemiStd3m_.NIFSMCP100,0.6054095328297793,0.9916674116737864,0.2975553150532546,0.0022266310059418115,0.004233728377356609,0.0006814859893107988
COVID,SemiStdXm,SemiStd6m_.NSEI,0.7155595078120758,0.9922817833480033,0.5964780595640371,0.001432839892446739,0.002436326999410247,0.0006863101233315305
COVID,SemiStdXm,SemiStd6m_.NIFMDCP100,0.7103658556463845,0.9947725163925014,0.5589782006452747,0.0019335374481048515,0.0035333540840676286,0.000915404757053285
COVID,SemiStdXm,SemiStd6m_.NIFSMCP100,0.6971717787310392,0.9947725163925014,0.5207541536403568,0.0022969621624401412,0.0035333540840676286,0.0010791567560790743
COVID,SemiStdXm,SemiStd12m_.NSEI,0.5830081364800492,0.9937207459552698,0.2975553150532546,0.0009329571801844208,0.0016586524304537022,0.0004825991209518642
COVID,SemiStdXm,SemiStd12m_.NIFMDCP100,0.5993392246134414,0.9954883623696764,0.3243835617494191,0.001309346076843949,0.0024163742188009593,0.000729167549468028
COVID,SemiStdXm,SemiStd12m_.NIFSMCP100,0.6020867282935549,0.9954883623696764,0.335848612483443,0.0015509291530239454,0.0024163742188009593,0.0008952796928673483
Recent,LogReturn,LogReturn_.NSEI,0.7942570865695138,0.8571335534167216,0.7313806197223061,0.0013723246471477228,0.0014043420995604385,0.001340307194735007
Recent,LogReturn,LogReturn_.NIFMDCP100,0.895256680627111,0.9333798078375004,0.8571335534167216,0.001975862167786864,0.002611417140838721,0.001340307194735007
Recent,LogReturn,LogReturn_.NIFSMCP100,0.8323802137799032,0.9333798078375004,0.7313806197223061,0.00200787962019958,0.002611417140838721,0.0014043420995604385
Recent,ReturnXm,Return3m_.NSEI,0.6094436132227143,0.9138305722894605,0.46234414997931955,0.005485183113948793,0.009236885752115138,0.002605631612584837
Recent,ReturnXm,Return3m_.NIFMDCP100,0.6553106844599781,0.9712195279238607,0.4845180211600603,0.008919844995235512,0.014820613281903513,0.004398401033273049
Recent,ReturnXm,Return3m_.NIFSMCP100,0.659153463240779,0.9712195279238607,0.441508944112865,0.010615043554725697,0.017974265803277566,0.005449218399297265
Recent,ReturnXm,Return6m_.NSEI,0.7097270217899798,0.9155114810969708,0.5780285101204138,0.008036848653714172,0.015753626053169312,0.002605631612584837
Recent,ReturnXm,Return6m_.NIFMDCP100,0.7275318109603528,0.9811612345260109,0.5372272904409048,0.014627074473572095,0.030223194003319322,0.00456310888862432
Recent,ReturnXm,Return6m_.NIFSMCP100,0.6823181646240322,0.9811612345260109,0.46234414997931955,0.01678446462656359,0.036892510217425775,0.004941449906058176
Recent,ReturnXm,Return12m_.NSEI,0.630823932506972,0.9389540495765997,0.441508944112865,0.01104472795855619,0.028898879007085973,0.003653547992771545
Recent,ReturnXm,Return12m_.NIFMDCP100,0.6902698088706156,0.988028903024546,0.49733123478241176,0.022475870127090503,0.06691946340054973,0.007107880532063867
Recent,ReturnXm,Return12m_.NIFSMCP100,0.6933468145530914,0.988028903024546,0.4910850992556354,0.02758992968985579,0.06691946340054973,0.009236885752115138
Recent,DrawdownXm,Drawdown3m_.NSEI,0.6425962685792113,0.8213423394310638,0.44475612311100826,0.0005975096850336731,0.0006533901796744038,0.0005189153051737621
Recent,DrawdownXm,Drawdown3m_.NIFMDCP100,0.8201394690418722,0.9203201451806512,0.7120756126822834,0.0011831541196229214,0.0014378270318393446,0.0006070560286693176
Recent,DrawdownXm,Drawdown3m_.NIFSMCP100,0.8062262749233071,0.9203201451806512,0.6447939460041513,0.0014844522605150655,0.002086735938130661,0.0006136147387009467
Recent,DrawdownXm,Drawdown6m_.NSEI,0.7934208476035866,0.9117635831484052,0.6808279192970492,0.0011911353987757406,0.0014498397648753918,0.0006288664238882009
Recent,DrawdownXm,Drawdown6m_.NIFMDCP100,0.8771700429484617,0.9637155333619429,0.6817929545639133,0.0016278640491392085,0.0022748373827800056,0.0006533901796744038
Recent,DrawdownXm,Drawdown6m_.NIFSMCP100,0.8005122293081196,0.9830185238309433,0.44475612311100826,0.001814210938234269,0.0031333738347189256,0.0005189153051737621
Recent,DrawdownXm,Drawdown12m_.NSEI,0.8381809031669483,0.9247313417746776,0.7061686117110237,0.0013261308012139559,0.00186176715437797,0.0005660545451438822
Recent,DrawdownXm,Drawdown12m_.NIFMDCP100,0.8418018132636216,0.9637155333619429,0.5792358163571131,0.0016985544525381956,0.0026126574912443495,0.0006012627154719499
Recent,DrawdownXm,Drawdown12m_.NIFSMCP100,0.7843475794543128,0.9830185238309433,0.45590667242066174,0.0019309945176891963,0.0031333738347189256,0.0005909175435469217
Recent,SemiStdXm,SemiStd3m_.NSEI,0.4947235976608111,0.8664867904006472,0.1947480711778257,0.00011550865485912554,0.0002585207455367681,4.3487663152619995e-05
Recent,SemiStdXm,SemiStd3m_.NIFMDCP100,0.6284631482316505,0.8664867904006472,0.40304479096168283,0.0002239587504538638,0.0004994421530226064,6.879109235518756e-05
Recent,SemiStdXm,SemiStd3m_.NIFSMCP100,0.6073466407160871,0.8502231360848154,0.48151336237183134,0.00026362442509793283,0.0004994421530226064,8.176423433311735e-05
Recent,SemiStdXm,SemiStd6m_.NSEI,0.6737719946059533,0.8628559826372032,0.5614495327656507,0.00011695419310378161,0.00016160796636440397,4.723349221005261e-05
Recent,SemiStdXm,SemiStd6m_.NIFMDCP100,0.6948622176420274,0.8628559826372032,0.4727504071820405,0.00020515484623743576,0.0003448943112249452,7.522376354125708e-05
Recent,SemiStdXm,SemiStd6m_.NIFSMCP100,0.614843043190938,0.8592789306977037,0.1947480711778257,0.00022292994868246274,0.0003938220315687686,5.995590165485624e-05
Recent,SemiStdXm,SemiStd12m_.NSEI,0.6600039865266318,0.8770710628576349,0.48151336237183134,7.208564322562286e-05,0.00010032846012816343,4.3487663152619995e-05
Recent,SemiStdXm,SemiStd12m_.NIFMDCP100,0.680211572355538,0.9677020835497113,0.35465696033572375,0.00014884315336537976,0.0002296583851455689,6.310569141183645e-05
Recent,SemiStdXm,SemiStd12m_.NIFSMCP100,0.6233310691756507,0.9677020835497113,0.2874183827059309,0.00017833614571618117,0.00029793891361145394,7.169602021895331e-05
