"date","ticker","name","exchange","open","high","low","close","volume","last_updated"
2012-09-24,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3415.1,3452.25,3409.45,3419.0,0,2025-10-15 10:53:52.910
2012-09-25,NIFTY 50,NIFTY 50,NSE,5674.9,5702.7,5652.45,5673.9,0,2025-10-15 10:50:43.804
2012-09-25,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7665.05,7720.65,7611.25,7688.9,0,2025-10-15 10:50:53.899
2012-09-25,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3425.6,3444.3,3403.35,3432.0,0,2025-10-15 10:53:52.910
2012-09-26,NIFTY 50,NIFTY 50,NSE,5653.4,5672.8,5638.65,5663.45,0,2025-10-15 10:50:43.804
2012-09-26,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7687.3,7741.7,7656.7,7717.1,0,2025-10-15 10:50:53.899
2012-09-26,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3432.4,3457.4,3414.95,3425.6,0,2025-10-15 10:53:52.910
2012-09-27,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7718.5,7780.25,7718.5,7744.7,0,2025-10-15 10:50:53.899
2012-09-27,NIFTY 50,NIFTY 50,NSE,5673.75,5693.7,5639.7,5649.5,0,2025-10-15 10:50:43.804
2012-09-27,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3435.5,3453.05,3422.5,3424.3,0,2025-10-15 10:53:52.910
2012-09-28,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3435.75,3481.55,3435.75,3451.6,0,2025-10-15 10:53:52.910
2012-09-28,NIFTY 50,NIFTY 50,NSE,5684.8,5735.15,5683.45,5703.3,0,2025-10-15 10:50:43.804
2012-09-28,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7746.55,7875.05,7746.55,7840.5,0,2025-10-15 10:50:53.899
